active_vehicles,is_weekend,month,day,trips_rolling_mean_3,trips_rolling_mean_7,lag_1,lag_2,lag_3
3849,1,2,7,18298.0,17781.428571428572,14375.0,1989.0,11897.0
345,1,2,7,18792.666666666668,12750.0,38530.0,14375.0,1989.0
1300,1,2,7,18484.33333333333,12469.0,3473.0,38530.0,14375.0
1031,1,2,7,9145.0,13460.857142857143,13450.0,3473.0,38530.0
211,1,2,7,8488.666666666666,11976.142857142857,10512.0,13450.0,3473.0
1383,1,2,7,8568.0,13647.42857142857,1504.0,10512.0,13450.0
3422,1,2,8,14961.333333333334,15835.57142857143,13688.0,1504.0,10512.0
313,1,2,8,15334.333333333334,10706.0,29692.0,13688.0,1504.0
923,1,2,8,13481.333333333334,11371.142857142857,2623.0,29692.0,13688.0
1256,1,2,8,7252.0,11021.714285714286,8129.0,2623.0,29692.0
1136,1,2,8,9829.666666666666,10999.42857142857,11004.0,8129.0,2623.0
176,1,2,8,7518.666666666667,10955.42857142857,10356.0,11004.0,8129.0
388,0,2,9,4815.333333333333,9413.42857142857,1196.0,10356.0,11004.0
228,0,2,9,1885.0,5395.285714285715,2894.0,1196.0,10356.0
3543,0,2,9,10908.333333333334,9058.57142857143,1565.0,2894.0,1196.0
1241,0,2,9,13346.666666666666,9355.714285714286,28266.0,1565.0,2894.0
1312,0,2,9,16454.0,9339.0,10209.0,28266.0,1565.0
976,0,2,9,9743.666666666666,9021.714285714286,10887.0,10209.0,28266.0
3700,0,2,10,16048.666666666666,13011.42857142857,8135.0,10887.0,10209.0
233,0,2,10,12938.0,12820.142857142857,29124.0,8135.0,10887.0
1364,0,2,10,14026.666666666666,14225.285714285714,1555.0,29124.0,8135.0
422,0,2,10,5462.666666666667,10677.57142857143,11401.0,1555.0,29124.0
1281,0,2,10,8456.333333333334,10724.285714285714,3432.0,11401.0,1555.0
1029,0,2,10,7562.0,10414.42857142857,10536.0,3432.0,11401.0
450,0,2,11,7677.333333333333,9792.0,8718.0,10536.0,3432.0
1396,0,2,11,8228.333333333334,7372.714285714285,3778.0,8718.0,10536.0
1115,0,2,11,8667.0,8584.0,12189.0,3778.0,8718.0
1450,0,2,11,11657.333333333334,8776.57142857143,10034.0,12189.0,3778.0
3849,0,2,11,18224.0,12841.857142857143,12749.0,10034.0,12189.0
255,0,2,11,15489.666666666666,11598.285714285714,31889.0,12749.0,10034.0
1532,0,2,12,15994.333333333334,12390.42857142857,1831.0,31889.0,12749.0
269,0,2,12,6062.0,12149.57142857143,14263.0,1831.0,31889.0
1468,0,2,12,10047.0,12377.714285714286,2092.0,14263.0,1831.0
536,0,2,12,6829.0,11602.714285714286,13786.0,2092.0,14263.0
